20201022,Lenguaje,91.5,90.0,92.5,93.0
20201022,Geografía,80.5,82.0,81.5,83.0
20201023,Matemáticas,79.0,81.5,80.0,82.0
20201023,Ciencias,84.5,86.0,85.0,83.5
20201023,Historia,71.0,72.5,73.0,74.5
20201023,Lenguaje,88.5,89.0,91.5,87.0
20201023,Geografía,82.0,80.5,81.0,83.5
20201024,Matemáticas,81.0,83.5,85.0,82.5
20201024,Ciencias,85.5,84.0,87.5,86.0
20201024,Historia,73.0,70.5,74.0,72.5
20201024,Lenguaje,92.0,91.5,93.0,94.0
20201024,Geografía,78.5,80.0,79.5,77.0
20201025,Matemáticas,76.0,78.5,80.0,79.5
20201025,Ciencias,82.0,80.5,83.0,81.0
20201025,Historia,70.5,71.0,69.5,72.0
20201025,Lenguaje,85.0,86.5,87.0,88.5
20201025,Geografía,81.0,79.5,80.0,78.0
20201026,Matemáticas,84.5,83.0,85.5,87.0
20201026,Ciencias,88.0,87.5,86.0,89.5
20201026,Historia,74.0,72.5,75.0,73.0
20201026,Lenguaje,91.5,90.0,92.5,93.0
20201026,Geografía,80.5,82.0,81.5,83.0
20201027,Matemáticas,81.5,83.0,85.0,86.5
20201027,Ciencias,89.0,87.5,90.0,88.5
20201027,Historia,77.5,75.0,78.0,76.5
20201027,Lenguaje,93.5,92.0,94.0,91.5
20201027,Geografía,82.5,84.0,83.5,81.0
20201028,Matemáticas,83.0,85.5,87.0,84.5
20201028,Ciencias,86.5,88.0,89.5,87.0
20201028,Historia,78.5,77.0,79.0,76.5
20201028,Lenguaje,90.0,91.5,92.0,89.5
20201028,Geografía,80.0,81.5,83.0,82.5
20201029,Matemáticas,77.0,79.5,81.0,80.5
20201029,Ciencias,84.0,82.5,85.0,83.5
20201029,Historia,73.0,71.5,74.0,72.5
20201029,Lenguaje,87.0,85.5,88.0,86.5
20201029,Geografía,78.0,79.5,81.0,80.0
20201030,Matemáticas,82.5,81.0,84.5,85.0
20201030,Ciencias,88.0,86.5,89.0,87.5
20201030,Historia,75.5,74.0,77.0,76.5
20201030,Lenguaje,92.0,90.5,93.0,91.5
20201030,Geografía,81.0,82.5,83.0,80.5
20201031,Matemáticas,80.0,78.5,82.0,81.5
20201031,Ciencias,85.5,84.0,87.0,86.5
20201031,Historia,74.5,73.0,76.0,75.5
20201031,Lenguaje,89.5,88.0,91.0,90.5
20201031,Geografía,82.5,81.0,84.0,83.5
20201032,Matemáticas,79.5,81.0,83.5,82.0
20201032,Ciencias,86.0,87.5,88.0,85.5
20201032,Historia,72.0,70.5,74.0,73.5
20201032,Lenguaje,91.0,89.5,92.0,90.5
20201032,Geografía,78.5,80.0,81.5,79.0
20201033,Matemáticas,81.5,80.0,82.5,83.0
20201033,Ciencias,84.5,83.0,86.0,85.5
20201033,Historia,71.5,72.0,70.5,73.0
20201033,Lenguaje,88.0,86.5,89.5,87.0
20201033,Geografía,80.0,79.5,81.0,82.5
20201034,Matemáticas,83.5,85.0,86.5,84.0
20201034,Ciencias,89.0,87.5,90.0,88.5
20201034,Historia,76.0,77.5,75.0,78.5
20201034,Lenguaje,94.5,93.0,95.0,92.5
20201034,Geografía,82.0,83.5,81.0,80.5
20201035,Matemáticas,77.5,79.0,81.5,80.0
20201035,Ciencias,83.0,82.5,84.0,85.5
20201035,Historia,70.0,71.5,73.0,72.5
20201035,Lenguaje,86.0,85.5,87.0,88.5
20201035,Geografía,79.0,78.5,80.0,81.5
20201036,Matemáticas,80.5,78.0,82.5,81.0
20201036,Ciencias,86.5,85.0,88.0,87.5
20201036,Historia,75.0,73.5,76.0,74.5
20201036,Lenguaje,91.5,90.0,93.0,92.5
20201036,Geografía,83.0,81.5,84.0,82.5
20201037,Matemáticas,78.0,80.5,79.0,82.5
20201037,Ciencias,85.0,83.5,86.0,84.5
20201037,Historia,72.5,71.0,74.0,73.5
20201037,Lenguaje,88.5,87.0,89.0,90.5
20201037,Geografía,80.0,79.5,81.0,78.5
20201038,Matemáticas,81.0,82.5,84.0,83.5
20201038,Ciencias,87.5,85.0,88.5,86.0
20201038,Historia,74.0,72.5,75.0,73.0
20201038,Lenguaje,90.0,89.5,91.0,92.5
20201038,Geografía,79.5,81.0,80.5,78.0
20201039,Matemáticas,82.5,81.0,83.5,85.0
20201039,Ciencias,89.0,87.5,88.0,86.5
20201039,Historia,77.0,75.5,78.0,76.5
20201039,Lenguaje,93.0,92.5,94.0,91.5
20201039,Geografía,81.0,82.5,80.0,79.5
